otus	phylum
OTU_227	p:Firmicutes
OTU_228	"p:""Bacteroidetes"""
OTU_230	p:Firmicutes
OTU_229	"p:""Actinobacteria"""
OTU_231	unknown
OTU_232	unknown
OTU_235	"p:""Bacteroidetes"""
OTU_233	p:Firmicutes
OTU_236	p:Firmicutes
OTU_234	unknown
OTU_237	unknown
OTU_239	p:Firmicutes
OTU_238	p:Firmicutes
OTU_240	p:Firmicutes
OTU_241	"p:""Proteobacteria"""
OTU_243	p:Firmicutes
OTU_244	p:Firmicutes
OTU_242	unknown
OTU_245	unknown
OTU_246	"p:""Proteobacteria"""
OTU_248	unknown
OTU_247	"p:""Actinobacteria"""
OTU_250	"p:""Bacteroidetes"""
OTU_251	"p:""Bacteroidetes"""
OTU_249	"p:""Bacteroidetes"""
OTU_252	unknown
OTU_254	unknown
OTU_255	p:Firmicutes
OTU_253	p:Firmicutes
OTU_256	"p:""Tenericutes"""
OTU_257	"p:""Bacteroidetes"""
OTU_258	unknown
OTU_260	"p:""Bacteroidetes"""
OTU_259	p:Firmicutes
OTU_261	"p:""Bacteroidetes"""
OTU_263	unknown
OTU_262	p:Firmicutes
OTU_264	p:Firmicutes
OTU_265	unknown
OTU_266	unknown
OTU_267	"p:""Proteobacteria"""
OTU_268	p:Firmicutes
OTU_269	p:Firmicutes
OTU_270	p:Firmicutes
OTU_271	unknown
OTU_273	"p:""Bacteroidetes"""
OTU_272	p:Firmicutes
OTU_274	unknown
OTU_275	unknown
OTU_276	"p:""Proteobacteria"""
OTU_277	p:Firmicutes
OTU_278	p:Firmicutes
OTU_280	"p:""Spirochaetes"""
OTU_282	"p:""Bacteroidetes"""
OTU_281	"p:""Bacteroidetes"""
OTU_279	unknown
OTU_283	"p:""Bacteroidetes"""
OTU_285	"p:""Bacteroidetes"""
OTU_284	p:Firmicutes
OTU_286	p:Firmicutes
OTU_288	unknown
OTU_287	p:Firmicutes
OTU_289	p:Firmicutes
OTU_291	"p:""Bacteroidetes"""
OTU_290	p:Firmicutes
OTU_292	p:Firmicutes
OTU_294	"p:""Spirochaetes"""
OTU_295	"p:""Bacteroidetes"""
OTU_293	unknown
OTU_296	unknown
OTU_299	"p:""Bacteroidetes"""
OTU_297	p:Firmicutes
OTU_298	unknown
OTU_300	p:Firmicutes
OTU_301	p:Firmicutes
OTU_302	p:Firmicutes
OTU_303	"p:""Bacteroidetes"""
OTU_304	p:Firmicutes
OTU_306	unknown
OTU_307	"p:""Bacteroidetes"""
OTU_305	unknown
OTU_308	p:Firmicutes
OTU_310	"p:""Spirochaetes"""
OTU_311	unknown
OTU_309	p:Firmicutes
OTU_312	unknown
OTU_313	p:Firmicutes
OTU_315	p:Firmicutes
OTU_314	p:Firmicutes
OTU_316	p:Firmicutes
OTU_317	p:Firmicutes
OTU_318	"p:""Bacteroidetes"""
OTU_319	p:Firmicutes
OTU_320	p:Firmicutes
OTU_322	unknown
OTU_321	p:Firmicutes
OTU_323	"p:""Actinobacteria"""
OTU_324	p:Firmicutes
OTU_326	unknown
OTU_325	p:Firmicutes
OTU_327	p:Firmicutes
OTU_328	unknown
OTU_329	p:Firmicutes
OTU_331	p:Firmicutes
OTU_330	unknown
OTU_333	"p:""Bacteroidetes"""
OTU_332	p:Firmicutes
OTU_334	p:Firmicutes
OTU_335	unknown
