otus	phylum
OTU_931	"p:""Proteobacteria"""
OTU_930	p:Firmicutes
OTU_932	p:Firmicutes
OTU_933	p:Firmicutes
OTU_934	"p:""Proteobacteria"""
OTU_936	unknown
OTU_935	unknown
OTU_937	"p:""Actinobacteria"""
OTU_938	p:Firmicutes
OTU_939	"p:""Actinobacteria"""
OTU_940	p:Firmicutes
OTU_941	p:Firmicutes
OTU_942	unknown
OTU_943	unknown
OTU_945	p:Firmicutes
OTU_944	unknown
OTU_946	p:Firmicutes
OTU_947	"p:""Bacteroidetes"""
OTU_951	"p:""Bacteroidetes"""
OTU_948	p:Firmicutes
OTU_949	p:Firmicutes
OTU_950	unknown
OTU_952	p:Firmicutes
OTU_953	"p:""Proteobacteria"""
OTU_955	"p:""Actinobacteria"""
OTU_954	unknown
OTU_957	unknown
OTU_956	unknown
OTU_958	"p:""Proteobacteria"""
OTU_960	"p:""Proteobacteria"""
OTU_959	p:Firmicutes
OTU_961	p:Firmicutes
OTU_962	unknown
OTU_963	p:Firmicutes
OTU_965	p:Firmicutes
OTU_964	"p:""Tenericutes"""
OTU_966	p:Firmicutes
OTU_967	p:Firmicutes
OTU_968	"p:""Bacteroidetes"""
OTU_969	unknown
OTU_971	p:Firmicutes
OTU_970	unknown
OTU_972	p:Firmicutes
OTU_975	"p:""Bacteroidetes"""
OTU_974	unknown
OTU_973	p:Firmicutes
OTU_976	unknown
OTU_978	p:Firmicutes
OTU_977	p:Firmicutes
OTU_980	"p:""Spirochaetes"""
OTU_979	p:Firmicutes
OTU_982	unknown
OTU_981	p:Firmicutes
OTU_983	"p:""Proteobacteria"""
OTU_984	unknown
OTU_985	unknown
OTU_986	p:Firmicutes
OTU_987	unknown
OTU_989	"p:""Bacteroidetes"""
OTU_988	p:Firmicutes
OTU_990	p:Firmicutes
OTU_991	"p:""Actinobacteria"""
OTU_992	"p:""Spirochaetes"""
OTU_993	"p:""Bacteroidetes"""
OTU_994	unknown
OTU_995	"p:""Bacteroidetes"""
OTU_996	unknown
OTU_999	"p:""Bacteroidetes"""
OTU_997	p:Firmicutes
OTU_998	p:Firmicutes
OTU_1000	p:Firmicutes
OTU_1001	unknown
OTU_1003	p:Firmicutes
OTU_1002	unknown
OTU_1004	p:Firmicutes
OTU_1005	p:Firmicutes
OTU_1007	"p:""Bacteroidetes"""
OTU_1006	unknown
OTU_1009	"p:""Bacteroidetes"""
OTU_1008	p:Firmicutes
OTU_1011	p:Firmicutes
OTU_1010	unknown
OTU_1013	"p:""Bacteroidetes"""
OTU_1012	"p:""Proteobacteria"""
OTU_1014	"p:""Bacteroidetes"""
OTU_1017	p:Firmicutes
OTU_1016	unknown
OTU_1015	p:Firmicutes
OTU_1018	unknown
OTU_1020	"p:""Bacteroidetes"""
OTU_1019	p:Firmicutes
OTU_1022	"p:""Bacteroidetes"""
OTU_1021	"p:""Proteobacteria"""
OTU_1023	p:Firmicutes
OTU_1024	p:Firmicutes
OTU_1025	p:Firmicutes
OTU_1027	p:Firmicutes
OTU_1026	p:Firmicutes
OTU_1028	unknown
OTU_1029	"p:""Bacteroidetes"""
OTU_1033	"p:""Bacteroidetes"""
OTU_1030	p:Firmicutes
OTU_1032	p:Firmicutes
OTU_1031	unknown
OTU_1034	p:Firmicutes
OTU_1036	"p:""Bacteroidetes"""
OTU_1035	p:Firmicutes
OTU_1037	"p:""Bacteroidetes"""
OTU_1039	p:Firmicutes
OTU_1038	p:Firmicutes
OTU_1040	p:Firmicutes
OTU_1042	"p:""Bacteroidetes"""
OTU_1041	p:Firmicutes
OTU_1043	p:Firmicutes
OTU_1044	p:Firmicutes
OTU_1045	p:Firmicutes
OTU_1047	p:Firmicutes
OTU_1048	p:Firmicutes
OTU_1046	"p:""Proteobacteria"""
OTU_1051	p:Firmicutes
OTU_1049	p:Firmicutes
OTU_1050	p:Firmicutes
OTU_1052	p:Firmicutes
OTU_1054	unknown
OTU_1053	p:Firmicutes
OTU_1056	"p:""Bacteroidetes"""
OTU_1055	unknown
OTU_1057	"p:""Proteobacteria"""
OTU_1058	unknown
OTU_1060	"p:""Bacteroidetes"""
OTU_1061	"p:""Tenericutes"""
OTU_1062	"p:""Bacteroidetes"""
OTU_1059	p:Firmicutes
OTU_1064	p:Firmicutes
OTU_1063	unknown
OTU_1065	p:Firmicutes
OTU_1066	"p:""Bacteroidetes"""
OTU_1068	"p:""Bacteroidetes"""
OTU_1067	"p:""Proteobacteria"""
OTU_1069	p:Firmicutes
OTU_1072	p:Firmicutes
OTU_1070	p:Firmicutes
OTU_1071	p:Firmicutes
OTU_1073	unknown
OTU_1074	"p:""Bacteroidetes"""
OTU_1076	p:Firmicutes
OTU_1075	unknown
OTU_1078	"p:""Bacteroidetes"""
OTU_1077	p:Firmicutes
OTU_1079	unknown
OTU_1080	p:Firmicutes
OTU_1081	p:Firmicutes
OTU_1082	p:Firmicutes
OTU_1083	p:Firmicutes
OTU_1086	"p:""Bacteroidetes"""
OTU_1084	"p:""Bacteroidetes"""
OTU_1085	p:Firmicutes
OTU_1087	p:Firmicutes
OTU_1088	p:Firmicutes
OTU_1089	unknown
OTU_1090	p:Firmicutes
OTU_1091	p:Firmicutes
OTU_1092	p:Firmicutes
OTU_1094	"p:""Bacteroidetes"""
OTU_1093	p:Firmicutes
OTU_1095	unknown
OTU_1096	p:Firmicutes
OTU_1097	unknown
OTU_1099	"p:""Bacteroidetes"""
OTU_1098	unknown
OTU_1100	unknown
OTU_1101	unknown
OTU_1102	p:Firmicutes
OTU_1104	unknown
OTU_1103	unknown
OTU_1105	p:Firmicutes
OTU_1106	unknown
OTU_1107	p:Firmicutes
OTU_1109	p:Firmicutes
OTU_1110	"p:""Bacteroidetes"""
OTU_1108	"p:""Proteobacteria"""
OTU_1111	p:Firmicutes
OTU_1112	p:Firmicutes
OTU_1113	unknown
OTU_1114	"p:""Actinobacteria"""
OTU_1115	p:Firmicutes
OTU_1117	p:Firmicutes
OTU_1116	p:Firmicutes
OTU_1119	p:Firmicutes
OTU_1118	"p:""Proteobacteria"""
OTU_1121	p:Firmicutes
OTU_1120	"p:""Actinobacteria"""
OTU_1122	unknown
OTU_1124	unknown
OTU_1125	"p:""Bacteroidetes"""
OTU_1123	p:Firmicutes
OTU_1126	"p:""Proteobacteria"""
OTU_1128	unknown
OTU_1127	unknown
OTU_1129	unknown
OTU_1130	p:Firmicutes
OTU_1131	unknown
OTU_1132	p:Firmicutes
OTU_1135	"p:""Bacteroidetes"""
OTU_1133	p:Firmicutes
OTU_1134	p:Firmicutes
OTU_1136	p:Firmicutes
OTU_1137	p:Firmicutes
OTU_1139	"p:""Bacteroidetes"""
OTU_1138	p:Firmicutes
OTU_1140	"p:""Bacteroidetes"""
OTU_1141	"p:""Proteobacteria"""
OTU_1142	p:Firmicutes
OTU_1144	p:Firmicutes
OTU_1143	unknown
OTU_1145	unknown
OTU_1147	p:Firmicutes
OTU_1146	p:Firmicutes
OTU_1149	unknown
OTU_1148	p:Firmicutes
OTU_1150	p:Firmicutes
OTU_1151	p:Firmicutes
OTU_1154	p:Firmicutes
OTU_1152	p:Firmicutes
OTU_1153	unknown
OTU_1155	p:Firmicutes
OTU_1156	"p:""Bacteroidetes"""
OTU_1159	Other
OTU_1157	unknown
OTU_1158	p:Firmicutes
OTU_1160	unknown
OTU_1162	unknown
OTU_1161	p:Firmicutes
OTU_1163	"p:""Bacteroidetes"""
OTU_1164	"p:""Proteobacteria"""
OTU_1166	"p:""Actinobacteria"""
OTU_1165	unknown
OTU_1167	"p:""Bacteroidetes"""
OTU_1168	unknown
OTU_1169	unknown
OTU_1170	p:Firmicutes
OTU_1172	unknown
OTU_1171	p:Firmicutes
OTU_1173	unknown
OTU_1174	unknown
OTU_1175	unknown
OTU_1176	p:Firmicutes
OTU_1178	p:Firmicutes
OTU_1177	p:Firmicutes
OTU_1179	unknown
OTU_1180	unknown
OTU_1182	p:Firmicutes
OTU_1181	p:Firmicutes
OTU_1183	unknown
OTU_1185	"p:""Bacteroidetes"""
OTU_1184	p:Firmicutes
OTU_1186	p:Firmicutes
OTU_1187	p:Firmicutes
OTU_1188	p:Firmicutes
OTU_1190	p:Firmicutes
OTU_1189	unknown
OTU_1191	unknown
OTU_1192	p:Firmicutes
OTU_1193	p:Firmicutes
OTU_1194	unknown
OTU_1195	unknown
OTU_1197	p:Firmicutes
OTU_1196	unknown
OTU_1199	unknown
OTU_1198	"p:""Proteobacteria"""
OTU_1200	unknown
OTU_1201	p:Firmicutes
OTU_1202	unknown
OTU_1203	p:Firmicutes
OTU_1204	p:Firmicutes
OTU_1205	unknown
OTU_1206	unknown
OTU_1207	p:Firmicutes
OTU_1208	p:Firmicutes
OTU_1209	unknown
OTU_1210	p:Firmicutes
OTU_1212	"p:""Bacteroidetes"""
OTU_1211	p:Firmicutes
OTU_1214	p:Firmicutes
OTU_1213	"p:""Actinobacteria"""
OTU_1215	unknown
OTU_1217	p:Firmicutes
OTU_1216	p:Firmicutes
OTU_1218	p:Firmicutes
OTU_1219	p:Firmicutes
OTU_1220	p:Firmicutes
OTU_1222	p:Firmicutes
OTU_1221	unknown
OTU_1223	p:Firmicutes
OTU_1224	p:Firmicutes
OTU_1227	"p:""Bacteroidetes"""
OTU_1225	unknown
OTU_1226	Other
OTU_1228	p:Firmicutes
OTU_1230	p:Firmicutes
OTU_1229	unknown
OTU_1232	unknown
OTU_1231	unknown
OTU_1234	unknown
OTU_1233	unknown
OTU_1235	"p:""Proteobacteria"""
OTU_1238	"p:""Bacteroidetes"""
OTU_1236	"p:""Bacteroidetes"""
OTU_1237	unknown
OTU_1240	p:Firmicutes
OTU_1239	unknown
OTU_1242	p:Firmicutes
OTU_1241	unknown
OTU_1243	unknown
OTU_1244	p:Firmicutes
OTU_1245	p:Firmicutes
OTU_1247	"p:""Bacteroidetes"""
OTU_1246	unknown
OTU_1248	p:Firmicutes
OTU_1249	p:Firmicutes
OTU_1250	unknown
OTU_1253	"p:""Tenericutes"""
OTU_1251	unknown
OTU_1252	p:Firmicutes
OTU_1254	unknown
OTU_1257	"p:""Bacteroidetes"""
OTU_1258	"p:""Bacteroidetes"""
OTU_1255	p:Firmicutes
OTU_1256	p:Firmicutes
OTU_1260	"p:""Bacteroidetes"""
OTU_1259	p:Firmicutes
OTU_1261	"p:""Bacteroidetes"""
OTU_1262	Other
OTU_1264	p:Firmicutes
OTU_1263	unknown
OTU_1265	p:Firmicutes
OTU_1268	p:Firmicutes
OTU_1267	unknown
OTU_1266	unknown
OTU_1269	unknown
OTU_1270	p:Firmicutes
OTU_1271	"p:""Actinobacteria"""
OTU_1272	unknown
OTU_1273	p:Firmicutes
OTU_1274	"p:""Bacteroidetes"""
OTU_1275	unknown
OTU_1278	"p:""Bacteroidetes"""
OTU_1277	p:Firmicutes
OTU_1276	p:Firmicutes
OTU_1281	"p:""Bacteroidetes"""
OTU_1279	p:Firmicutes
OTU_1280	p:Firmicutes
OTU_1282	p:Firmicutes
OTU_1283	p:Firmicutes
OTU_1285	unknown
OTU_1284	unknown
OTU_1286	p:Firmicutes
OTU_1287	Other
OTU_1289	p:Firmicutes
OTU_1288	unknown
OTU_1291	"p:""Bacteroidetes"""
OTU_1290	p:Firmicutes
OTU_1292	"p:""Bacteroidetes"""
OTU_1293	p:Firmicutes
OTU_1294	"p:""Bacteroidetes"""
OTU_1295	p:Firmicutes
OTU_1296	unknown
OTU_1297	p:Firmicutes
OTU_1298	p:Firmicutes
OTU_1299	p:Firmicutes
OTU_1300	p:Firmicutes
OTU_1302	p:Firmicutes
OTU_1301	unknown
OTU_1304	"p:""Bacteroidetes"""
OTU_1303	p:Firmicutes
OTU_1305	unknown
OTU_1306	unknown
OTU_1307	p:Firmicutes
OTU_1309	"p:""Proteobacteria"""
OTU_1308	p:Firmicutes
OTU_1311	p:Firmicutes
OTU_1310	unknown
OTU_1312	p:Firmicutes
OTU_1315	unknown
OTU_1314	unknown
OTU_1313	p:Firmicutes
OTU_1316	p:Firmicutes
OTU_1317	p:Firmicutes
OTU_1318	unknown
OTU_1319	unknown
OTU_1320	p:Firmicutes
OTU_1321	p:Firmicutes
OTU_1322	p:Firmicutes
OTU_1324	unknown
OTU_1323	p:Firmicutes
OTU_1325	"p:""Bacteroidetes"""
OTU_1326	p:Firmicutes
OTU_1329	"p:""Bacteroidetes"""
OTU_1327	unknown
OTU_1328	p:Firmicutes
OTU_1330	unknown
OTU_1331	p:Firmicutes
OTU_1332	unknown
OTU_1334	"p:""Bacteroidetes"""
OTU_1333	"p:""Actinobacteria"""
OTU_1336	p:Firmicutes
OTU_1335	unknown
OTU_1337	p:Firmicutes
OTU_1339	p:Firmicutes
OTU_1340	p:Firmicutes
OTU_1338	unknown
OTU_1341	unknown
OTU_1342	unknown
OTU_1343	p:Firmicutes
OTU_1345	p:Firmicutes
OTU_1346	p:Firmicutes
OTU_1344	unknown
OTU_1347	unknown
OTU_1348	"p:""Bacteroidetes"""
OTU_1349	p:Firmicutes
OTU_1350	p:Firmicutes
OTU_1352	"p:""Proteobacteria"""
OTU_1353	"p:""Bacteroidetes"""
OTU_1351	p:Firmicutes
OTU_1357	"p:""Bacteroidetes"""
OTU_1356	p:Firmicutes
OTU_1354	unknown
OTU_1355	unknown
OTU_1358	unknown
OTU_1359	p:Firmicutes
OTU_1361	unknown
OTU_1360	Other
OTU_1362	p:Firmicutes
OTU_1363	p:Firmicutes
OTU_1364	unknown
OTU_1367	"p:""Bacteroidetes"""
OTU_1366	"p:""Bacteroidetes"""
OTU_1365	p:Firmicutes
OTU_1370	"p:""Bacteroidetes"""
OTU_1368	p:Firmicutes
OTU_1369	p:Firmicutes
OTU_1371	p:Firmicutes
OTU_1372	p:Firmicutes
OTU_1373	p:Firmicutes
OTU_1374	"p:""Tenericutes"""
OTU_1375	unknown
OTU_1376	unknown
OTU_1377	unknown
OTU_1378	Other
OTU_1380	"p:""Bacteroidetes"""
OTU_1379	p:Firmicutes
OTU_1381	p:Firmicutes
OTU_1382	unknown
OTU_1383	p:Firmicutes
OTU_1386	"p:""Bacteroidetes"""
OTU_1385	p:Firmicutes
OTU_1384	"p:""Actinobacteria"""
OTU_1387	unknown
OTU_1388	p:Firmicutes
OTU_1389	"p:""Proteobacteria"""
OTU_1391	unknown
OTU_1390	unknown
OTU_1392	p:Firmicutes
OTU_1393	"p:""Proteobacteria"""
OTU_1394	unknown
OTU_1396	Other
OTU_1395	unknown
OTU_1397	unknown
OTU_1398	unknown
OTU_1399	unknown
OTU_1400	"p:""Spirochaetes"""
OTU_1401	p:Firmicutes
OTU_1402	"p:""Proteobacteria"""
OTU_1403	p:Firmicutes
OTU_1404	Other
OTU_1405	unknown
OTU_1406	p:Firmicutes
OTU_1407	unknown
OTU_1409	"p:""Bacteroidetes"""
OTU_1410	p:Firmicutes
OTU_1408	unknown
OTU_1411	p:Firmicutes
OTU_1413	"p:""Bacteroidetes"""
OTU_1412	p:Firmicutes
OTU_1415	p:Firmicutes
OTU_1416	unknown
OTU_1417	"p:""Bacteroidetes"""
OTU_1414	p:Firmicutes
OTU_1418	p:Firmicutes
OTU_1419	p:Firmicutes
OTU_1420	p:Firmicutes
OTU_1421	unknown
OTU_1422	unknown
OTU_1423	"p:""Bacteroidetes"""
OTU_1424	unknown
OTU_1427	"p:""Bacteroidetes"""
OTU_1428	unknown
OTU_1425	p:Firmicutes
OTU_1426	unknown
OTU_1430	"p:""Bacteroidetes"""
OTU_1429	unknown
OTU_1431	p:Firmicutes
OTU_1432	p:Firmicutes
OTU_1433	"p:""Bacteroidetes"""
OTU_1434	p:Firmicutes
OTU_1435	unknown
OTU_1436	unknown
OTU_1437	p:Firmicutes
OTU_1438	unknown
OTU_1440	p:Firmicutes
OTU_1441	p:Firmicutes
OTU_1439	unknown
OTU_1442	"p:""Tenericutes"""
OTU_1443	p:Firmicutes
OTU_1444	p:Firmicutes
OTU_1446	p:Firmicutes
OTU_1445	p:Firmicutes
OTU_1447	p:Firmicutes
OTU_1448	unknown
OTU_1449	"p:""Proteobacteria"""
OTU_1451	p:Firmicutes
OTU_1450	p:Firmicutes
OTU_1452	p:Firmicutes
OTU_1453	unknown
OTU_1455	"p:""Bacteroidetes"""
OTU_1454	unknown
OTU_1457	p:Firmicutes
OTU_1456	p:Firmicutes
OTU_1458	unknown
OTU_1459	p:Firmicutes
OTU_1461	"p:""Tenericutes"""
OTU_1460	unknown
OTU_1464	p:Firmicutes
OTU_1463	p:Firmicutes
OTU_1462	unknown
OTU_1465	unknown
OTU_1466	"p:""Bacteroidetes"""
OTU_1467	"p:""Bacteroidetes"""
OTU_1470	"p:""Spirochaetes"""
OTU_1468	unknown
OTU_1471	p:Firmicutes
OTU_1469	"p:""Actinobacteria"""
OTU_1472	p:Firmicutes
OTU_1475	p:Firmicutes
OTU_1474	unknown
OTU_1473	p:Firmicutes
OTU_1476	p:Firmicutes
OTU_1478	p:Firmicutes
OTU_1477	p:Firmicutes
OTU_1479	unknown
OTU_1480	"p:""Proteobacteria"""
OTU_1481	p:Firmicutes
OTU_1482	unknown
OTU_1483	p:Firmicutes
OTU_1484	unknown
OTU_1485	p:Firmicutes
OTU_1486	unknown
OTU_1488	"p:""Bacteroidetes"""
OTU_1487	p:Firmicutes
OTU_1489	p:Firmicutes
OTU_1490	p:Firmicutes
OTU_1491	unknown
OTU_1493	"p:""Bacteroidetes"""
OTU_1492	unknown
OTU_1494	"p:""Proteobacteria"""
OTU_1495	"p:""Spirochaetes"""
OTU_1496	p:Firmicutes
OTU_1499	p:Firmicutes
OTU_1498	unknown
OTU_1497	p:Firmicutes
OTU_1500	"p:""Proteobacteria"""
OTU_1502	p:Firmicutes
OTU_1501	p:Firmicutes
OTU_1504	unknown
OTU_1503	p:Firmicutes
OTU_1505	"p:""Proteobacteria"""
OTU_1506	"p:""Proteobacteria"""
OTU_1507	p:Firmicutes
OTU_1508	p:Firmicutes
OTU_1511	unknown
OTU_1509	unknown
OTU_1510	p:Firmicutes
OTU_1512	p:Firmicutes
OTU_1514	p:Firmicutes
OTU_1513	unknown
OTU_1515	p:Firmicutes
OTU_1516	p:Firmicutes
OTU_1517	p:Firmicutes
OTU_1518	p:Firmicutes
OTU_1519	p:Firmicutes
OTU_1521	"p:""Bacteroidetes"""
OTU_1520	unknown
OTU_1522	p:Firmicutes
OTU_1523	unknown
OTU_1524	p:Firmicutes
OTU_1525	"p:""Bacteroidetes"""
OTU_1526	p:Firmicutes
OTU_1527	p:Firmicutes
OTU_1528	unknown
OTU_1529	p:Firmicutes
OTU_1530	p:Firmicutes
OTU_1532	"p:""Bacteroidetes"""
OTU_1531	"p:""Bacteroidetes"""
OTU_1536	"p:""Bacteroidetes"""
OTU_1534	"p:""Proteobacteria"""
OTU_1535	p:Firmicutes
OTU_1533	p:Firmicutes
OTU_1537	p:Firmicutes
OTU_1539	"p:""Bacteroidetes"""
OTU_1538	unknown
OTU_1543	"p:""Bacteroidetes"""
OTU_1540	p:Firmicutes
OTU_1541	unknown
OTU_1542	p:Firmicutes
OTU_1546	unknown
OTU_1547	p:Firmicutes
OTU_1544	Other
OTU_1545	p:Firmicutes
OTU_1548	p:Firmicutes
OTU_1549	unknown
OTU_1550	p:Firmicutes
OTU_1551	"p:""Bacteroidetes"""
OTU_1552	p:Firmicutes
OTU_1554	p:Firmicutes
OTU_1553	unknown
OTU_1555	unknown
OTU_1556	unknown
OTU_1557	"p:""Bacteroidetes"""
OTU_1558	unknown
OTU_1560	"p:""Bacteroidetes"""
OTU_1559	"p:""Bacteroidetes"""
OTU_1561	p:Firmicutes
OTU_1562	"p:""Proteobacteria"""
OTU_1563	p:Firmicutes
OTU_1565	p:Firmicutes
OTU_1564	unknown
OTU_1566	p:Firmicutes
OTU_1567	unknown
OTU_1568	p:Firmicutes
OTU_1570	unknown
OTU_1569	"p:""Proteobacteria"""
OTU_1571	unknown
OTU_1572	p:Firmicutes
OTU_1575	unknown
OTU_1574	"p:""Bacteroidetes"""
OTU_1576	"p:""Spirochaetes"""
OTU_1573	unknown
OTU_1577	p:Firmicutes
OTU_1580	unknown
OTU_1579	p:Firmicutes
OTU_1578	p:Firmicutes
OTU_1581	"p:""Bacteroidetes"""
OTU_1583	unknown
OTU_1584	"p:""Bacteroidetes"""
OTU_1582	p:Firmicutes
OTU_1585	"p:""Proteobacteria"""
OTU_1586	"p:""Proteobacteria"""
OTU_1588	p:Firmicutes
OTU_1587	p:Firmicutes
OTU_1589	unknown
OTU_1591	"p:""Bacteroidetes"""
OTU_1590	unknown
OTU_1592	"p:""Bacteroidetes"""
OTU_1594	"p:""Bacteroidetes"""
OTU_1593	"p:""Actinobacteria"""
OTU_1595	p:Firmicutes
OTU_1596	p:Firmicutes
OTU_1597	p:Firmicutes
OTU_1598	p:Firmicutes
OTU_1599	"p:""Bacteroidetes"""
OTU_1601	"p:""Proteobacteria"""
OTU_1600	p:Firmicutes
OTU_1602	unknown
OTU_1603	unknown
OTU_1604	"p:""Bacteroidetes"""
OTU_1605	p:Firmicutes
OTU_1608	p:Firmicutes
OTU_1607	p:Firmicutes
OTU_1606	Other
OTU_1610	p:Firmicutes
OTU_1609	p:Firmicutes
OTU_1611	p:Firmicutes
OTU_1612	p:Firmicutes
OTU_1615	p:Firmicutes
OTU_1616	unknown
OTU_1613	p:Firmicutes
OTU_1614	p:Firmicutes
OTU_1619	"p:""Bacteroidetes"""
OTU_1618	p:Firmicutes
OTU_1617	p:Firmicutes
OTU_1620	unknown
OTU_1621	p:Firmicutes
OTU_1623	unknown
OTU_1622	unknown
OTU_1624	"p:""Bacteroidetes"""
OTU_1625	p:Firmicutes
OTU_1627	p:Firmicutes
OTU_1626	p:Firmicutes
OTU_1628	p:Firmicutes
OTU_1630	"p:""Spirochaetes"""
OTU_1629	unknown
OTU_1631	unknown
OTU_1632	"p:""Bacteroidetes"""
OTU_1634	"p:""Bacteroidetes"""
OTU_1633	unknown
OTU_1635	p:Firmicutes
OTU_1636	unknown
OTU_1637	p:Firmicutes
OTU_1638	"p:""Actinobacteria"""
OTU_1639	unknown
OTU_1642	p:Firmicutes
OTU_1640	p:Firmicutes
OTU_1641	unknown
OTU_1643	p:Firmicutes
OTU_1646	unknown
OTU_1645	unknown
OTU_1644	p:Firmicutes
OTU_1647	unknown
OTU_1648	"p:""Bacteroidetes"""
OTU_1649	"p:""Bacteroidetes"""
OTU_1650	unknown
OTU_1651	p:Firmicutes
OTU_1652	p:Firmicutes
OTU_1654	p:Firmicutes
OTU_1655	"p:""Bacteroidetes"""
OTU_1653	"p:""Proteobacteria"""
OTU_1656	p:Firmicutes
OTU_1657	"p:""Bacteroidetes"""
OTU_1659	"p:""Bacteroidetes"""
OTU_1658	unknown
OTU_1661	unknown
OTU_1660	unknown
OTU_1663	unknown
OTU_1664	unknown
OTU_1662	unknown
OTU_1665	p:Firmicutes
OTU_1666	p:Firmicutes
OTU_1667	unknown
OTU_1669	p:Firmicutes
OTU_1670	p:Firmicutes
OTU_1668	unknown
OTU_1671	unknown
OTU_1672	unknown
OTU_1673	p:Firmicutes
OTU_1675	"p:""Bacteroidetes"""
OTU_1676	p:Firmicutes
OTU_1674	unknown
OTU_1677	p:Firmicutes
OTU_1679	"p:""Bacteroidetes"""
OTU_1678	unknown
OTU_1680	"p:""Proteobacteria"""
OTU_1681	unknown
OTU_1682	"p:""Bacteroidetes"""
OTU_1683	unknown
OTU_1684	p:Firmicutes
OTU_1685	unknown
OTU_1686	unknown
OTU_1687	unknown
OTU_1690	"p:""Bacteroidetes"""
OTU_1688	"p:""Bacteroidetes"""
OTU_1689	p:Firmicutes
OTU_1691	unknown
OTU_1692	unknown
OTU_1695	"p:""Bacteroidetes"""
OTU_1694	unknown
OTU_1693	unknown
OTU_1696	p:Firmicutes
OTU_1698	p:Firmicutes
OTU_1697	p:Firmicutes
OTU_1699	"p:""Actinobacteria"""
OTU_1700	p:Firmicutes
OTU_1702	"p:""Bacteroidetes"""
OTU_1701	unknown
OTU_1704	p:Firmicutes
OTU_1703	"p:""Actinobacteria"""
OTU_1705	p:Firmicutes
OTU_1706	unknown
OTU_1710	"p:""Bacteroidetes"""
OTU_1707	unknown
OTU_1709	unknown
OTU_1708	unknown
OTU_1712	unknown
OTU_1713	p:Firmicutes
OTU_1711	unknown
OTU_1714	"p:""Proteobacteria"""
OTU_1716	"p:""Bacteroidetes"""
OTU_1715	unknown
OTU_1717	unknown
OTU_1718	"p:""Bacteroidetes"""
OTU_1719	"p:""Proteobacteria"""
OTU_1720	p:Firmicutes
OTU_1721	p:Firmicutes
OTU_1724	p:Firmicutes
OTU_1723	p:Firmicutes
OTU_1725	"p:""Bacteroidetes"""
OTU_1722	p:Firmicutes
OTU_1727	unknown
OTU_1726	p:Firmicutes
OTU_1728	unknown
OTU_1729	p:Firmicutes
OTU_1730	p:Firmicutes
OTU_1733	"p:""Bacteroidetes"""
OTU_1731	"p:""Proteobacteria"""
OTU_1732	p:Firmicutes
OTU_1734	unknown
OTU_1735	p:Firmicutes
OTU_1736	p:Firmicutes
OTU_1737	p:Firmicutes
OTU_1739	"p:""Bacteroidetes"""
OTU_1738	unknown
OTU_1741	p:Firmicutes
OTU_1740	unknown
OTU_1742	"p:""Bacteroidetes"""
OTU_1743	p:Firmicutes
OTU_1744	"p:""Proteobacteria"""
OTU_1745	unknown
OTU_1747	unknown
OTU_1748	p:Firmicutes
OTU_1746	unknown
OTU_1749	p:Firmicutes
OTU_1750	p:Firmicutes
OTU_1751	p:Firmicutes
OTU_1753	unknown
OTU_1752	p:Firmicutes
OTU_1754	unknown
OTU_1756	unknown
OTU_1755	unknown
OTU_1757	"p:""Bacteroidetes"""
OTU_1759	p:Firmicutes
OTU_1760	p:Firmicutes
OTU_1758	p:Firmicutes
OTU_1761	"p:""Bacteroidetes"""
OTU_1762	p:Firmicutes
OTU_1763	unknown
OTU_1764	"p:""Proteobacteria"""
OTU_1765	unknown
OTU_1766	p:Firmicutes
OTU_1768	p:Firmicutes
OTU_1767	p:Firmicutes
OTU_1770	"p:""Bacteroidetes"""
OTU_1769	p:Firmicutes
OTU_1771	unknown
OTU_1772	p:Firmicutes
OTU_1773	p:Firmicutes
OTU_1776	"p:""Bacteroidetes"""
OTU_1775	p:Firmicutes
OTU_1774	unknown
OTU_1777	Other
OTU_1778	p:Firmicutes
OTU_1779	unknown
OTU_1780	"p:""Tenericutes"""
OTU_1782	"p:""Spirochaetes"""
OTU_1781	unknown
OTU_1783	"p:""Tenericutes"""
OTU_1784	p:Firmicutes
OTU_1787	p:Firmicutes
OTU_1785	p:Firmicutes
OTU_1786	p:Firmicutes
OTU_1788	unknown
OTU_1789	p:Firmicutes
OTU_1791	unknown
OTU_1790	p:Firmicutes
OTU_1795	"p:""Proteobacteria"""
OTU_1792	p:Firmicutes
OTU_1794	unknown
OTU_1793	p:Firmicutes
OTU_1796	"p:""Bacteroidetes"""
OTU_1798	"p:""Actinobacteria"""
OTU_1797	"p:""Bacteroidetes"""
OTU_1799	unknown
OTU_1800	unknown
OTU_1801	"p:""Bacteroidetes"""
OTU_1802	"p:""Proteobacteria"""
OTU_1803	unknown
OTU_1804	p:Firmicutes
OTU_1805	p:Firmicutes
OTU_1807	p:Firmicutes
OTU_1809	unknown
OTU_1806	p:Firmicutes
OTU_1808	p:Firmicutes
OTU_1811	p:Firmicutes
OTU_1810	p:Firmicutes
OTU_1813	"p:""Proteobacteria"""
OTU_1812	p:Firmicutes
OTU_1815	p:Firmicutes
OTU_1814	p:Firmicutes
OTU_1816	"p:""Proteobacteria"""
OTU_1817	unknown
OTU_1818	p:Firmicutes
OTU_1819	unknown
OTU_1820	unknown
OTU_1821	"p:""Bacteroidetes"""
OTU_1822	p:Firmicutes
OTU_1823	unknown
OTU_1824	"p:""Tenericutes"""
